,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.3740304995247417,,Intercept,312.6907205986843,313.0,0.30927940131567766,313.0
1,1,grade:A,1.1236638666614067,3.226778411862538e-35,grade,86.69296714530225,87.0,0.3070328546977521,87.0
2,2,grade:B,0.8789172782221322,4.279717956293385e-47,grade,67.81026691793578,68.0,0.18973308206422246,68.0
3,3,grade:C,0.6847954068772639,6.713865565080961e-34,grade,52.83336722934203,53.0,0.16663277065796933,53.0
4,4,grade:D,0.4969226054674144,1.3470722041137395e-20,grade,38.338596076370706,38.0,-0.3385960763707061,38.0
5,5,grade:E,0.3214914301921163,1.0255425844922946e-11,grade,24.8037218442833,25.0,0.19627815571670126,25.0
6,6,grade:F,0.1342831804079598,0.0062421077716649405,grade,10.36022220938947,10.0,-0.3602222093894696,10.0
7,7,home_ownership:OWN,0.09351546278202658,3.4613239055106245e-06,home_ownership,7.2149093541893565,7.0,-0.21490935418935653,7.0
8,8,home_ownership:MORTGAGE,0.10624839533076,4.422277996444912e-17,home_ownership,8.19728116115191,8.0,-0.19728116115190986,8.0
9,9,addr_state:NM_VA,0.0360182008551609,0.26085767562225903,addr_state,2.7788779153741983,3.0,0.22112208462580174,3.0
10,10,addr_state:NY,0.05555642296871121,0.021830122056946046,addr_state,4.286291740827425,4.0,-0.2862917408274246,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.057995769477260144,0.012258709092474425,addr_state,4.474492316636599,4.0,-0.4744923166365993,4.0
12,12,addr_state:CA,0.062150380858193494,0.0033754643941803445,addr_state,4.7950290880279365,5.0,0.20497091197206352,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07645867937835155,0.0021488297425125025,addr_state,5.898943604028847,6.0,0.10105639597115257,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13344123418525655,3.1497789463963897e-09,addr_state,10.295264335074448,10.0,-0.2952643350744477,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09789456949629266,0.001033188276658604,addr_state,7.5527664000278145,8.0,0.4472335999721855,8.0
